Curr IP,Server IP,CDN IP,Trc Server,Trc CDN,Trc Diff.,Ping Server,Ping CDN,Ping Diff,CDN?,Hops Server,Hops CDN,Distance Server,Distance CDN,Distance Diff.,CDN TTL
130.245.192.6,216.58.219.227,216.58.218.227,6093.728065,6365.84425,-272.1161842,7.021,19.53,-12.509,No,7,11,2604.218551,2604.218551,0,300
130.245.192.6,151.101.1.111,151.101.209.111,126250.515,145063.0252,-18812.51025,8.278,8.033,0.245,Yes,32,32,2612.877204,55.80032968,2557.076875,21
130.245.192.6,185.147.178.13,185.147.178.14,1062.486887,5581.167221,-4518.680334,101.997,100.513,1.484,Yes,10,10,6097.935165,6097.935165,0,300
130.245.192.6,103.64.14.20,103.64.14.17,6892.353058,3148.215055,3744.138002,297.292,324.682,-27.39,No,21,21,10039.22927,10039.22927,0,3600
130.245.192.6,104.16.195.240,104.16.194.240,6031.4188,6030.151844,1.266956329,6.628,8.012,-1.384,No,5,5,1336.019277,1336.019277,0,300
130.245.192.6,198.134.112.242,198.134.112.243,120168.2539,114397.953,5770.300865,10.285,10.423,-0.138,Yes,32,32,29.08886414,29.08886414,0,1800
130.245.192.6,104.16.58.5,104.16.58.5,1060.204983,5024.893284,-3964.688301,10.101,13.777,-3.676,No,5,5,1336.019277,1336.019277,0,300
130.245.192.6,205.204.101.42,198.11.132.23,104571.5439,105842.2329,-1270.689011,74.327,74.296,0.031,Yes,32,32,2616.908976,2616.908976,0,120
130.245.192.6,169.45.207.192,169.47.19.136,95449.62573,99301.15199,-3851.52626,30.146,15.733,14.413,Yes,32,32,267.7546494,267.7546494,0,30
130.245.192.6,199.109.99.136,23.67.250.176,64.78214264,5592.190981,-5527.408838,13.293,26.396,-13.103,No,5,5,214.3418746,30.06337516,184.2784994,20
130.245.192.6,104.18.72.52,104.18.74.52,6037.532806,1044.804811,4992.727995,7.243,8.031,-0.788,Yes,5,5,1336.019277,1336.019277,0,300
130.245.192.6,216.58.218.228,216.58.218.227,1289.202929,2174.745798,-885.5428696,14.405,13.328,1.077,Yes,11,11,2604.218551,2604.218551,0,300
130.245.192.6,204.74.99.100,96.43.145.26,130203.172,5185.329199,125017.8428,14.105,34.138,-20.033,No,32,9,2614.445367,2612.435653,2.009713849,90
130.245.192.6,216.58.219.227,216.58.218.227,6098.602057,2203.181028,3895.421028,7.914,11.974,-4.06,No,7,11,2604.218551,2604.218551,0,300
